chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
UPST,2022-03-18,110.0000,put,sell,2022-03-18T13:30:17.086223Z,credit,1.00000,limit,,long_put,1.30000000,1.00000
UPST,2022-03-18,110.0000,put,buy,2022-03-17T16:27:44.741696Z,debit,1.00000,limit,long_put,,2.05000000,1.00000
FB,2022-03-18,210.0000,call,sell,2022-03-15T19:15:26.053395Z,credit,10.00000,limit,,long_call,0.13000000,10.00000
FB,2022-03-18,210.0000,call,buy,2022-03-15T18:12:53.448320Z,debit,10.00000,limit,long_call,,0.09000000,10.00000
TSLA,2022-03-18,830.0000,call,sell,2022-03-15T14:13:13.295190Z,credit,1.00000,limit,,long_call,3.65000000,1.00000
TSLA,2022-03-18,830.0000,call,buy,2022-03-15T14:08:43.857590Z,debit,1.00000,limit,long_call,,4.85000000,1.00000
NVDA,2022-03-18,225.0000,call,sell,2022-03-15T14:01:25.489110Z,credit,1.00000,limit,,long_call,2.98000000,1.00000
NVDA,2022-03-18,225.0000,call,buy,2022-03-15T13:30:46.079271Z,debit,1.00000,limit,long_call,,2.70000000,1.00000
SPY,2022-03-16,420.0000,put,sell,2022-03-11T14:30:39.233507Z,credit,1.00000,limit,,long_put,2.80000000,1.00000
SPY,2022-03-16,420.0000,put,buy,2022-03-10T20:58:12.753616Z,debit,1.00000,limit,long_put,,3.94000000,1.00000
AMD,2022-03-18,105.0000,call,sell,2022-03-09T14:33:59.248443Z,credit,1.00000,limit,,long_call,6.00000000,1.00000
AMD,2022-03-18,105.0000,call,buy,2022-03-08T15:05:55.122850Z,debit,1.00000,limit,long_call,,2.97000000,1.00000
AMD,2022-03-11,110.0000,call,sell,2022-03-08T15:02:08.675148Z,credit,2.00000,limit,,long_call,0.46000000,2.00000
AMD,2022-03-11,110.0000,call,buy,2022-03-07T20:56:32.271472Z,debit,1.00000,limit,long_call,,0.99000000,1.00000
AMD,2022-03-11,110.0000,call,buy,2022-03-07T20:09:54.792511Z,debit,1.00000,limit,long_call,,1.06000000,1.00000
AMD,2022-03-11,110.0000,call,sell,2022-03-07T17:28:08.351812Z,credit,1.00000,limit,,long_call,1.58000000,1.00000
AMD,2022-03-11,110.0000,call,buy,2022-03-07T16:24:14.512810Z,debit,1.00000,limit,long_call,,2.03000000,1.00000
TSLA,2022-03-11,650.0000,put,sell,2022-03-04T18:46:56.334153Z,credit,1.00000,limit,,long_put,0.73000000,1.00000
TSLA,2022-03-11,650.0000,put,buy,2022-03-04T18:39:30.260702Z,debit,1.00000,limit,long_put,,0.67000000,1.00000
AAPL,2022-03-11,170.0000,call,sell,2022-03-03T18:21:55.319504Z,credit,2.00000,limit,,long_call,1.74000000,2.00000
AAPL,2022-03-11,170.0000,call,buy,2022-03-03T18:08:31.617653Z,debit,2.00000,limit,long_call,,1.66000000,2.00000
TSLA,2022-03-04,915.0000,call,sell,2022-02-28T14:59:20.519642Z,credit,1.00000,limit,,long_call,4.35000000,1.00000
TSLA,2022-03-04,915.0000,call,buy,2022-02-28T14:45:40.986107Z,debit,1.00000,limit,long_call,,2.32000000,1.00000
TSLA,2022-02-25,750.0000,put,sell,2022-02-25T14:41:10.890041Z,credit,1.00000,limit,,long_put,1.34000000,1.00000
TSLA,2022-02-25,750.0000,put,buy,2022-02-25T14:37:44.717819Z,debit,1.00000,limit,long_put,,1.25000000,1.00000
BABA,2022-02-25,100.0000,put,sell,2022-02-24T14:33:37.310778Z,credit,1.00000,limit,,long_put,2.12000000,1.00000
