symbol,date,order_type,side,fees,quantity,average_price,Washsale,Washsale amount,
PLTR,2021-03-04T19:14:29.631000Z,market,sell,0.03,90,23.69,Washsale,2132.1,-4.05
PLTR,2021-03-04T19:06:46.973000Z,market,buy,0,90,23.735,Washsale,2136.15,
PLTR,2021-03-04T14:47:46.434000Z,market,sell,0.03,90,24.4,Washsale,2196,-31.95
PLTR,2021-03-04T14:35:49.817000Z,market,buy,0,90,24.755,Washsale,2227.95,
PLTR,2021-02-25T17:10:35.952000Z,market,sell,0.01,40,24.5,Washsale,980,-98.4
PLTR,2021-02-24T16:25:27.345000Z,market,buy,0,40,26.96,Washsale,1078.4,
PLTR,2021-02-24T15:05:29.415000Z,market,sell,0.03,40,26.001,Washsale,1040.04,-2.2515
PLTR,2021-02-23T17:48:46.776000Z,market,buy,0,33,26.0852,Washsale,860.8116,
PLTR,2021-02-23T17:46:16.776000Z,market,buy,0,7,25.9257,Washsale,181.4799,
PLTR,2021-02-23T16:01:56.074000Z,market,sell,0,6,27.02,Washsale,162.12,-3.15
PLTR,2021-02-19T14:32:50.638000Z,market,buy,0,6,27.545,Washsale,165.27,
PLTR,2021-01-25T14:34:06.449000Z,market,sell,0,1,36.85,Washsale,,-139.8015
PLTR,2021-01-19T16:17:01.368000Z,market,buy,0,1,26.83,Washsale,,
LI,2020-07-31T14:42:52.176000Z,market,sell,0,5,16.396,,,
LI,2020-07-30T15:51:57.380000Z,market,buy,0,5,16.99,,,
BYND,2020-07-29T13:45:31.335000Z,market,sell,0.02,5,125.75,,,
BYND,2020-07-28T14:20:13.265000Z,market,buy,0,5,127.398,,,
DAO,2020-07-28T13:33:51.815000Z,market,sell,0.02,16,39.49,,,
DAO,2020-07-27T14:43:03.225000Z,market,buy,0,16,38.865,,,
AMD,2020-07-27T13:44:56.084000Z,market,sell,0.02,9,70.88,,,
AMD,2020-07-24T14:00:18.752000Z,market,buy,0,9,66.0378,,,
WKHS,2020-06-25T19:17:06.903000Z,market,sell,0,50,8.5714,,,
WKHS,2020-06-25T17:25:47.790000Z,market,buy,0,50,8.19,,,
FMCI,2020-06-16T13:34:07.427000Z,market,sell,0,30,15.81,,,
FMCI,2020-06-15T18:32:12.127000Z,market,buy,0,30,14.92,,,
VRM,2020-06-12T13:33:37.846000Z,market,sell,0.03,23,46.1,,,
VRM,2020-06-11T18:28:39.850000Z,market,buy,0,23,44,,,
AMD,2020-06-02T13:38:36.051000Z,market,sell,0.02,15,52.99,,,
AMD,2020-06-01T14:08:51.463000Z,market,buy,0,15,53.95,,,
AMD,2020-05-28T19:57:30.916000Z,market,sell,0.02,16,51.82,,,
AMD,2020-05-21T13:38:11.995000Z,market,buy,0,16,56.4681,,,
CYBR,2019-07-15T16:34:51.590000Z,market,sell,0.15,45,141.8649,,,
CYBR,2019-07-15T16:29:14.743000Z,market,buy,0,45,142.3127,,,
TWTR,2019-07-09T17:51:51.093000Z,market,sell,0.13,130,37.4801,,,
TWTR,2019-07-09T16:44:09.742000Z,market,buy,0,130,37.1199,,,
AMD,2019-07-09T14:47:41.248000Z,market,sell,0.13,150,32.8203,,,
AMD,2019-07-09T14:39:20.962000Z,market,buy,0,150,32.95,,,
NVDA,2019-07-05T13:38:31.876000Z,market,sell,0.03,6,159.03,,,
NVDA,2019-07-01T18:18:35.474000Z,limit,buy,0,6,165.07,,,
SUNEQ,2016-01-07T15:00:22Z,market,sell,0.02,18,4.455,,,
SUNEQ,2016-01-07T14:38:01.648000Z,market,buy,0,18,4.56,,,
SUNEQ,2016-01-07T14:32:19Z,market,sell,0.02,25,4.8,,,
SUNEQ,2016-01-07T14:30:27.720000Z,market,buy,0,25,4.93,,,
SUNEQ,2016-01-04T20:03:41Z,market,sell,0.02,36,5.77,,,
