chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
SPY,2020-11-09,342.0000,put,sell,2020-11-09T14:38:39.533626Z,credit,1.00000,limit,,long_put,0.02000000,1.00000
SPY,2020-11-09,342.0000,put,buy,2020-11-06T14:47:52.311415Z,debit,1.00000,limit,long_put,,1.12000000,1.00000
PLTR,2020-11-06,12.0000,call,sell,2020-11-05T14:53:33.918001Z,credit,5.00000,limit,,long_call,0.20000000,5.00000
PLTR,2020-11-06,12.0000,call,buy,2020-11-05T14:51:34.004287Z,debit,5.00000,limit,long_call,,0.20000000,5.00000
PLTR,2020-11-20,15.0000,call,sell,2020-10-29T13:46:32.783689Z,credit,10.00000,limit,,long_call,0.15000000,10.00000
PLTR,2020-11-20,15.0000,call,buy,2020-10-28T19:57:25.473337Z,debit,10.00000,limit,long_call,,0.20000000,10.00000
DKNG,2020-11-06,50.0000,call,sell,2020-10-26T14:34:33.125325Z,credit,4.00000,limit,,long_call,0.50000000,4.00000
DKNG,2020-11-06,50.0000,call,buy,2020-10-23T19:35:59.937771Z,debit,2.00000,limit,long_call,,0.85000000,2.00000
DKNG,2020-11-06,50.0000,call,buy,2020-10-22T13:40:58.435725Z,debit,2.00000,limit,long_call,,1.10000000,2.00000
AMD,2020-08-14,75.0000,put,sell,2020-08-07T13:59:30.144606Z,credit,9.00000,limit,,long_put,0.14000000,9.00000
AMD,2020-08-14,75.0000,put,buy,2020-08-06T19:17:36.036883Z,debit,3.00000,limit,long_put,,0.16000000,3.00000
AMD,2020-08-14,75.0000,put,buy,2020-08-06T13:43:08.894230Z,debit,6.00000,limit,long_put,,0.22000000,6.00000
TLRY,2020-08-14,10.0000,call,sell,2020-08-06T13:40:15.541527Z,credit,2.00000,limit,,long_call,0.24000000,2.00000
TLRY,2020-08-14,10.0000,call,buy,2020-08-05T13:39:34.462791Z,debit,3.00000,limit,long_call,,0.50000000,3.00000
BA,2020-08-21,205.0000,call,sell,2020-08-05T13:35:47.006175Z,credit,3.00000,limit,,long_call,1.00000000,3.00000
BA,2020-08-21,205.0000,call,buy,2020-08-04T13:57:18.372484Z,debit,3.00000,limit,long_call,,0.99000000,3.00000
NFLX,2020-08-07,535.0000,call,sell,2020-08-04T13:41:28.049700Z,credit,2.00000,limit,,long_call,1.20000000,2.00000
NFLX,2020-08-07,535.0000,call,buy,2020-08-03T14:09:10.767735Z,debit,2.00000,limit,long_call,,1.07000000,2.00000
WMT,2020-10-16,155.0000,call,sell,2020-07-31T16:06:17.094883Z,credit,10.00000,limit,,long_call,0.48000000,10.00000
WMT,2020-10-16,155.0000,call,buy,2020-07-30T15:43:48.133787Z,debit,10.00000,limit,long_call,,0.54000000,10.00000
AMD,2020-08-07,70.0000,put,sell,2020-07-30T13:33:57.404487Z,credit,2.00000,limit,,long_put,0.61000000,2.00000
AMD,2020-08-07,70.0000,put,buy,2020-07-29T15:19:53.982542Z,debit,1.00000,limit,long_put,,0.66000000,1.00000
AMD,2020-08-07,70.0000,put,buy,2020-07-29T14:19:19.645052Z,debit,1.00000,limit,long_put,,0.90000000,1.00000
AMD,2020-07-31,65.0000,call,sell,2020-07-23T14:58:32.902272Z,credit,1.00000,limit,,long_call,2.00000000,1.00000
AMD,2020-07-31,65.0000,call,buy,2020-07-23T14:50:16.428929Z,debit,1.00000,limit,long_call,,2.17000000,1.00000
AMD,2020-07-24,64.0000,call,sell,2020-07-23T13:32:32.185165Z,credit,5.00000,limit,,long_call,0.75000000,5.00000
AMD,2020-07-24,64.0000,call,buy,2020-07-23T13:31:26.944873Z,debit,5.00000,limit,long_call,,0.65000000,5.00000
AMD,2020-07-24,62.0000,call,sell,2020-07-22T14:42:07.028167Z,credit,5.00000,limit,,long_call,1.01000000,5.00000
AMD,2020-07-24,62.0000,call,buy,2020-07-22T14:33:30.064367Z,debit,5.00000,limit,long_call,,0.93000000,5.00000
AMD,2020-07-24,62.0000,call,sell,2020-07-22T14:21:42.281737Z,credit,5.00000,limit,,long_call,1.08000000,5.00000
AMD,2020-07-24,62.0000,call,buy,2020-07-22T14:17:31.182933Z,debit,5.00000,limit,long_call,,0.90000000,5.00000
UAL,2020-07-31,45.0000,call,sell,2020-07-16T13:32:45.156716Z,credit,2.00000,limit,,long_call,0.55000000,2.00000
UAL,2020-07-31,45.0000,call,buy,2020-07-15T17:30:17.653771Z,debit,2.00000,limit,long_call,,0.81000000,2.00000
BA,2020-07-31,250.0000,call,sell,2020-07-15T14:05:36.683971Z,credit,1.00000,limit,,long_call,1.55000000,1.00000
BA,2020-07-31,250.0000,call,buy,2020-07-15T13:32:53.297910Z,debit,1.00000,limit,long_call,,1.98000000,1.00000
GOOGL,2020-07-02,1460.0000,call,sell,2020-06-30T13:35:04.957435Z,credit,2.00000,limit,,long_call,0.90000000,2.00000
GOOGL,2020-07-02,1460.0000,call,buy,2020-06-29T19:35:17.381238Z,debit,2.00000,limit,long_call,,1.20000000,2.00000
FB,2020-06-26,250.0000,call,sell,2020-06-23T18:44:22.640295Z,credit,1.00000,limit,,long_call,1.55000000,1.00000
FB,2020-06-26,250.0000,call,buy,2020-06-23T18:39:21.426811Z,debit,2.00000,limit,long_call,,1.60000000,2.00000
AMD,2020-07-02,59.0000,call,sell,2020-06-23T17:58:51.157933Z,credit,5.00000,limit,,long_call,0.39000000,5.00000
AMD,2020-07-02,59.0000,call,buy,2020-06-23T15:54:02.915901Z,debit,5.00000,limit,long_call,,0.54000000,5.00000
AMD,2020-07-02,57.0000,call,sell,2020-06-23T13:51:59.223885Z,credit,7.00000,limit,,long_call,0.79000000,7.00000
INTC,2020-06-26,55.0000,put,sell,2020-06-23T13:30:26.415379Z,credit,1.00000,limit,,long_put,0.04000000,1.00000
INTC,2020-06-26,55.0000,put,buy,2020-06-22T18:34:40.244728Z,debit,1.00000,limit,long_put,,0.12000000,1.00000
AMD,2020-07-02,57.0000,call,buy,2020-06-22T17:42:52.539626Z,debit,2.00000,limit,long_call,,1.06000000,2.00000
AMD,2020-07-02,57.0000,call,buy,2020-06-22T16:42:41.848314Z,debit,5.00000,limit,long_call,,1.15000000,5.00000
SPY,2020-07-02,288.0000,put,sell,2020-06-22T13:31:19.552544Z,credit,2.00000,limit,,long_put,1.65000000,2.00000
SPY,2020-07-02,288.0000,put,buy,2020-06-19T17:38:27.765764Z,debit,2.00000,limit,long_put,,1.97000000,2.00000
NVDA,2020-06-26,390.0000,call,sell,2020-06-19T13:32:43.677004Z,credit,1.00000,limit,,long_call,2.74000000,1.00000
TLRY,2020-06-26,9.0000,call,sell,2020-06-19T13:32:19.807655Z,credit,5.00000,limit,,long_call,0.42000000,5.00000
TLRY,2020-06-26,9.0000,call,buy,2020-06-18T16:58:50.058186Z,debit,5.00000,limit,long_call,,0.61000000,5.00000
NVDA,2020-06-26,390.0000,call,buy,2020-06-18T13:34:24.391580Z,debit,1.00000,limit,long_call,,3.90000000,1.00000
